,id,label,politics,art,society,charity,interest
663,1487032254,melis_hafez,0,0,0,0,n/a
664,501616581,anbyildirim,0.2222222222222222,0.1111111111111111,0.48148148148148145,0.18518518518518517,society
665,701870028,KlcDlara,0,0,0,0,n/a
666,1040273364,davettoplulugu,0.20320855614973263,0.058823529411764705,0.41711229946524064,0.32085561497326204,society
667,3307936077,FigenIlke,0.0,0.0,0.3333333333333333,0.6666666666666666,charity
668,404819932,safkanafkan,0.12290502793296089,0.2011173184357542,0.43575418994413406,0.24022346368715083,society
669,736366560,SelimDemirkynk,0,0,0,0,n/a
670,451448801,senaadonmezz,0,0,0,0,n/a
671,1397903335,goksukeserbi,0.23076923076923078,0.17751479289940827,0.2485207100591716,0.3431952662721893,charity
672,1666838509,ZaferQassami,0.14213197969543148,0.05583756345177665,0.2131979695431472,0.5888324873096447,charity
673,2447159280,arkakapak,0.07734806629834254,0.22099447513812154,0.574585635359116,0.1270718232044199,society
674,44912636,urbanhobbit,0.313953488372093,0.10465116279069768,0.3488372093023256,0.23255813953488372,society
675,54145022,balikgoz,0.225,0.15625,0.45,0.16875,society
676,749986048546050048,yasinTii,0.27419354838709675,0.1935483870967742,0.22580645161290322,0.3064516129032258,charity
677,807697646102212609,ezraozsoy,0,0,0,0,n/a
678,810062549127467010,n/a,0,0,0,0,n/a
679,745427082398732292,ramazancadiri,0.375,0.125,0.375,0.125,politics
680,762683270966411264,hanifecatan,0,0,0,0,n/a
681,214511627,_sedatulusoy,0.21951219512195122,0.3008130081300813,0.2845528455284553,0.1951219512195122,art
682,107720716,mr_kaks1,0.375,0.25,0.125,0.25,politics
683,2591993874,ofabiof,0.17318435754189945,0.1452513966480447,0.44692737430167595,0.2346368715083799,society
684,724185110,ibrahmcikrikci,0,0,0,0,n/a
685,2520223776,Mazlumder_World,0.0,0.0,0.0,1.0,charity
686,758236802998206465,aysenuryahsi,0.17045454545454544,0.1875,0.3977272727272727,0.24431818181818182,society
687,846204973,salihecevit,0.06060606060606061,0.06060606060606061,0.30303030303030304,0.5757575757575758,charity
688,1536995378,socsehir,0.0784313725490196,0.12418300653594772,0.6143790849673203,0.1830065359477124,society
689,377901136,hakanbayrakk,0,0,0,0,n/a
690,2794459222,rektoratif,0,0,0,0,n/a
691,741924400874852352,hramiustun,0.18674698795180722,0.20481927710843373,0.3313253012048193,0.27710843373493976,society
692,1286082668,snnogluberra,0,0,0,0,n/a
693,98857070,ahmetkahveciler,0.16243654822335024,0.15736040609137056,0.36548223350253806,0.3147208121827411,society
694,3179778166,s_simityan,0.17801047120418848,0.16753926701570682,0.35602094240837695,0.29842931937172773,society
695,2429218938,erdemytt,0.2033898305084746,0.1864406779661017,0.2937853107344633,0.3163841807909605,charity
696,956158075,wafflecim,0.1276595744680851,0.16489361702127658,0.5053191489361702,0.20212765957446807,society
697,2869260416,hoposinanay,0.11235955056179775,0.25280898876404495,0.37640449438202245,0.25842696629213485,society
698,812283761899474944,carslan61,0,0,0,0,n/a
699,1392631148,asamiozen,0.296969696969697,0.07878787878787878,0.20606060606060606,0.41818181818181815,charity
700,339857547,afsolmaz,0.13372093023255813,0.29069767441860467,0.38372093023255816,0.19186046511627908,society
701,757461140,ayergisen,0.2393617021276596,0.21808510638297873,0.3404255319148936,0.20212765957446807,society
702,3503304856,fzcerci,0.23668639053254437,0.14201183431952663,0.20118343195266272,0.42011834319526625,charity
703,2457882780,muakkib,0.16759776536312848,0.22346368715083798,0.2905027932960894,0.31843575418994413,charity
704,1478766751,ohannes_klcdg,0.23195876288659795,0.16494845360824742,0.30412371134020616,0.29896907216494845,society
